Question,Answer
"What is a Python dictionary?","A data structure that stores data as key-value pairs."
"What symbol is used to create a dictionary?","Curly braces {}."
"What is the syntax for an empty dictionary?","my_dict = {}"
"What is a key in a dictionary?","A key is the name used to look up a value."
"What is a value in a dictionary?","A value is the data stored under a key."
"What separates a key from a value?","A colon separates a key from a value."
"What separates multiple key-value pairs?","Commas separate multiple key-value pairs."
"What is the syntax for a dictionary with one key-value pair?","person = {""name"": ""Anthony""}"
"How do you access a value in a dictionary?","Use the dictionary name followed by the key in square brackets."
"What does person[""name""] do?","It accesses the value stored under the ""name"" key."
"How do you update a value in a dictionary?","Assign a new value to an existing key."
"What does person[""age""] = 35 do?","It changes the value stored under the ""age"" key to 35."
"How do you add a new key-value pair to a dictionary?","Assign a value to a new key."
"What does person[""city""] = ""Tracy"" do?","It adds a new key named ""city"" with the value ""Tracy""."
"What happens if you access a dictionary key that does not exist?","Python raises a KeyError."
"What does dict.get() do?","It safely gets a value without raising KeyError if the key is missing."
"How do you check if a key exists in a dictionary?","Use the in keyword with the dictionary."
"What does ""name"" in person check?","It checks whether ""name"" is a key in the person dictionary."
"How do you remove a key-value pair from a dictionary?","Use del with the dictionary key."
"What does del person[""age""] do?","It removes the ""age"" key and its value."
"What does len(my_dict) return?","The number of key-value pairs in the dictionary."
"How do you loop through dictionary keys?","Use a for loop directly on the dictionary."
"How do you loop through dictionary values?","Use the .values() method."
"How do you loop through both keys and values?","Use the .items() method."
"What is the common loop syntax for keys and values?","for key, value in my_dict.items():"
"Can dictionary values be changed after creation?","Yes. Dictionaries are mutable."
"What does mutable mean?","Mutable means the object can be changed after it is created."
"What is the difference between a list and a dictionary?","A list uses positions to access items while a dictionary uses keys."
"What is the difference between an index and a key?","An index is a numeric position in a list while a key is a lookup name in a dictionary."
"What is the clean mental model for my_dict[""x""] = 10?","Go into the dictionary and set the value labeled ""x"" to 10."